Subject,Condition,T3P1,T3P2,T3Low,T3P17,T3P18,T3High,T4P1,T4P2,T4Low,T4P17,T4P18,T4High,T5P1,T5P2,T5Low,T5P17,T5P18,T5High,T6P1,T6P2,T6Low,T6P17,T6P18,T6High,T7P1,T7P2,T7Low,T7P17,T7P18,T7Low,T8P1,T8P2,T8Low,T8P17,T8P18,T8High,T9P1,T9P2,T9Low,T9P17,T9P18,T9High,T10P1,T10P2,T10Low,T10P17,T10P18,T10High,T11P1,T11P2,T11Low,T11P17,T11P18,T11High,T12P1,T12P2,T12Low,T12P17,T12P18,T12High,T13P1,T13P2,T13Low,T13P17,T13P18,T13High,T14P1,T14P2,T14Low,T14P17,T14P18,T14High,T15P1,T15P2,T15Low,T15P17,T15P18,T15High,T16P1,T16P2,T16Low,T16P17,T16P18,T16High
1,Isolated,1,2.5,1.75,9.5,7,8.25,-0.5,-2,-1.25,6.5,5,5.75,-1.5,1,-0.25,5.5,4,4.75,0,-3.5,-1.75,4,3.5,3.75,1,-1,0,4.5,2,3.25,-0.5,2,0.75,0,3,1.5,-1,-2,-1.5,-1.5,2.5,0.5,-2,-1.5,-1.75,-0.5,0.5,0,-2.5,-3,-2.75,-3,1.5,-0.75,-2.5,-4.5,-3.5,-3.5,-3.5,-3.5,-6,-3.5,-4.75,-0.5,-4,-2.25,-5.5,-5,-5.25,3.5,1,2.25,-4,-6,-5,1,-0.5,0.25,-7,-5,-6,2,-0.5,0.75
2,Isolated,-1.5,-0.5,-1,7.5,2,4.75,0.5,-1,-0.25,1,5.5,3.25,-2,1.5,-0.25,2.5,1.5,2,-2.5,1,-0.75,0,-1,-0.5,2,-2,0,-1.5,-1.5,-1.5,3,6,4.5,-2.5,0.5,-1,1,-3,-1,-3.5,-2,-2.75,-0.5,1,0.25,-4.5,-2,-3.25,0,0.5,0.25,-2.5,-3,-2.75,1.5,-1.5,0,-4,-9.5,-6.75,0.5,-2.5,-1,1.5,-1,0.25,-2,-4.5,-3.25,1,-0.5,0.25,-1,-3.5,-2.25,2.5,-3.5,-0.5,-0.5,0,-0.25,0,0,0
3,Isolated,2.5,1,1.75,0.5,3,1.75,1,0,0.5,-0.5,0,-0.25,-3,-1,-2,1,-2.5,-0.75,-3,-3,-3,-1,0,-0.5,-2.5,-2.5,-2.5,-3,-3,-3,-3,3,0,5,-3,1,-2.5,4.5,1,-2.5,-1.5,-2,2,-1,0.5,-1,2.5,0.75,-3,-4.5,-3.75,2,-3,-0.5,-0.5,-4.5,-2.5,-3.5,-2.5,-3,-2.5,-0.5,-1.5,-4,-1.5,-2.75,-4,1.5,-1.25,-1.5,-4.5,-3,-5.5,1.5,-2,-0.5,0,-0.25,0.5,-9.5,-4.5,0,-6,-3
4,Isolated,-1.5,-1,-1.25,1.5,4.5,3,0.5,-0.5,0,-1,-0.5,-0.75,3,-1.5,0.75,0,1,0.5,1,2.5,1.75,-2,-2,-2,-3,-0.5,-1.75,0.5,-0.5,0,2,-3,-0.5,-0.5,-1,-0.75,4,4.5,4.25,-1.5,-5,-3.25,4,5,4.5,1,-3,-1,5,3,4,2,0,1,1.5,4.5,3,-1.5,3.5,1,0.5,-1,-0.25,5,0.5,2.75,3,1,2,3.5,1.5,2.5,-1,1,0,2,0,1,-2,0,-1,-0.5,1,0.25
5,Isolated,-1,-0.5,-0.75,3.5,3,3.25,1,-0.5,0.25,2.5,0,1.25,3.5,0,1.75,4,3,3.5,-0.5,0.5,0,1,2,1.5,-0.5,-1.5,-1,-1.5,0.5,-0.5,0.5,0.5,0.5,-2,2,0,1,0,0.5,-2.5,0,-1.25,3.5,-2,0.75,-1.5,0,-0.75,0,-3,-1.5,-1.5,-1.5,-1.5,-1,-1,-1,1,-2.5,-0.75,-1.5,-3,-2.25,-1.5,-2,-1.75,-5.5,-5,-5.25,-3,-5.5,-4.25,-1.5,-3,-2.25,-0.5,-1,-0.75,-6,-4.5,-5.25,0,-0.5,-0.25
6,Isolated,0,0.5,0.25,4,5,4.5,-1,-1.5,-1.25,3.5,3,3.25,-1,3.5,1.25,2,4,3,-2.5,-0.5,-1.5,3.5,0,1.75,-1.5,-1.5,-1.5,-1,0.5,-0.25,-2,1,-0.5,1,0,0.5,-3.5,0.5,-1.5,1.5,1,1.25,-3.5,-1,-2.25,-0.5,-2,-1.25,-2.5,1,-0.75,0.5,-0.5,0,-2,0,-1,1,1,1,1.5,0,0.75,1.5,2,1.75,-1.5,-1,-1.25,1,2,1.5,0,-1,-0.5,0.5,1.5,1,-4,0,-2,0.5,-0.5,0
8,Isolated,0.5,0,0.25,0.5,1.5,1,1.5,-2,-0.25,2.5,2.5,2.5,0.5,4.5,2.5,-0.5,1,0.25,0.5,2.5,1.5,2.5,-0.5,1,2,3,2.5,3.5,3.5,3.5,2,4,3,-0.5,0.5,0,-1.5,1,-0.25,0,-1,-0.5,0.5,-0.5,0,-1.5,0,-0.75,-2,-1,-1.5,-3.5,-1.5,-2.5,-2,-1.5,-1.75,0.5,-6,-2.75,-3.5,0,-1.75,4.5,-6,-0.75,-4,-4,-4,2,-1,0.5,-0.5,-2,-1.25,2,2,2,-2,-1,-1.5,1,0.5,0.75
9,Isolated,1.5,0.5,1,10.5,8.5,9.5,1,-0.5,0.25,4,4,4,0.5,1.5,1,6,4.5,5.25,-1,1.5,0.25,4.5,3.5,4,0.5,0.5,0.5,5,2,3.5,1,1,1,3,2.5,2.75,-3,-2,-2.5,3,1.5,2.25,-1.5,-0.5,-1,-0.5,1.5,0.5,-2,-3,-2.5,2,1,1.5,-3.5,-3.5,-3.5,1,1.5,1.25,-5.5,-3,-4.25,0,-1.5,-0.75,-1.5,-4.5,-3,-0.5,-0.5,-0.5,-3.5,-4.5,-4,-0.5,-0.5,-0.5,-5.5,-4.5,-5,1,1,1
10,Isolated,0,-1,-0.5,1.5,2,1.75,-2.5,-1.5,-2,2,2.5,2.25,1,-1.5,-0.25,-0.5,-0.5,-0.5,1.5,-3,-0.75,3.5,1.5,2.5,-1,1.5,0.25,-0.5,0,-0.25,-3,-2,-2.5,-2,-0.5,-1.25,3,-1.5,0.75,-3.5,1,-1.25,-3.5,3,-0.25,-2.5,-1.5,-2,1,-2.5,-0.75,-2.5,0,-1.25,1.5,1,1.25,3.5,0.5,2,0,-0.5,-0.25,-0.5,-2,-1.25,-0.5,-1,-0.75,-1.5,1.5,0,-1.5,-1.5,-1.5,-1,0,-0.5,-1.5,-3,-2.25,-1.5,-3.5,-2.5
11,Isolated,-1,0,-0.5,3.5,4,3.75,-2,-1,-1.5,4,1.5,2.75,-3,-2,-2.5,1.5,0.5,1,-3,-5,-4,3,0.5,1.75,0.5,-4.5,-2,0.5,-0.5,0,0,1,0.5,-1,0.5,-0.25,4.5,3.5,4,1.5,2.5,2,2,1,1.5,0.5,0.5,0.5,2.5,1,1.75,7,2,4.5,3,2.5,2.75,6,4.5,5.25,1.5,2,1.75,4,4,4,2.5,2,2.25,3.5,3,3.25,-7,1,-3,3,2,2.5,-0.5,-2.5,-1.5,2,1,1.5
12,Isolated,1.5,0.5,1,4.5,3.5,4,-1,0,-0.5,3.5,4.5,4,0,1,0.5,2,3,2.5,3.5,1,2.25,1,1.5,1.25,-0.5,0.5,0,0.5,-0.5,0,-1,-1,-1,1.5,0.5,1,1.5,2.5,2,0,0,0,-0.5,1.5,0.5,3,1,2,-0.5,2,0.75,-2,-1.5,-1.75,3,0,1.5,-1,-2,-1.5,-3,-1.5,-2.25,-0.5,1,0.25,-4,-3,-3.5,2,2,2,-0.5,-0.5,-0.5,0.5,1,0.75,-2.5,-4,-3.25,0.5,0.5,0.5
13,Isolated,-0.5,-0.5,-0.5,1.5,2,1.75,-2,-2,-2,2.5,3.5,3,-3,-3.5,-3.25,4.5,4,4.25,-0.5,-3,-1.75,-0.5,3,1.25,0.5,-3.5,-1.5,-2.5,4.5,1,-3.5,-1.5,-2.5,4,1.5,2.75,0,-5,-2.5,2,3,2.5,-4,1,-1.5,1.5,0.5,1,-1.5,-2,-1.75,-2,0,-1,-4,-1.5,-2.75,1,1,1,-3.5,-0.5,-2,-2,4,1,-5,-1.5,-3.25,3,2,2.5,-4.5,-7.5,-6,2,2,2,-5.5,-5,-5.25,1.5,1,1.25
14,Isolated,-1,-1.5,-1.25,5,3.5,4.25,-0.5,-3,-1.75,4,2,3,-1,0,-0.5,3.5,3,3.25,-0.5,-0.5,-0.5,4,2.5,3.25,-1.5,2,0.25,4.5,3.5,4,2,0,1,1,2,1.5,1.5,2,1.75,2,2,2,3.5,4,3.75,0.5,0,0.25,1,0.5,0.75,-0.5,0,-0.25,1.5,0.5,1,2.5,0,1.25,0,-2,-1,2.5,-1,0.75,1,-1,0,2.5,2,2.25,0.5,0,0.25,2,2,2,-0.5,0,-0.25,0.5,1.5,1
15,Isolated,-0.5,-1.5,-1,4,5.5,4.75,0.5,-3,-1.25,6.5,4.5,5.5,-1.5,2,0.25,5.5,1.5,3.5,-1,-2.5,-1.75,4.5,5,4.75,-2.5,-1.5,-2,1.5,3,2.25,-1.5,-0.5,-1,0,2,1,-0.5,-2,-1.25,1,-2,-0.5,-2,-3.5,-2.75,0.5,0,0.25,-3.5,-4,-3.75,-1,-1.5,-1.25,-2.5,-4,-3.25,0.5,0,0.25,0,2.5,1.25,1,-1.5,-0.25,-2.5,-3.5,-3,1,-0.5,0.25,-1.5,-4.5,-3,0,-0.5,-0.25,-3.5,-4.5,-4,1.5,0.5,1
16,Isolated,3.5,1,2.25,4,3,3.5,-1,5.5,2.25,4,6.5,5.25,0,0,0,2,2,2,2.5,0.5,1.5,7,2,4.5,2,0.5,1.25,-0.5,1.5,0.5,0.5,1,0.75,-0.5,5,2.25,1,1,1,1.5,1,1.25,1,-0.5,0.25,0.5,-1,-0.25,-1.5,-0.5,-1,-1,3,1,-2,-1.5,-1.75,2.5,3,2.75,-3.5,-3.5,-3.5,3,-1,1,-3,-2.5,-2.75,3,0.5,1.75,-4.5,-4.5,-4.5,1.5,-1.5,0,-5,-3,-4,1,-1,0
17,Isolated,-1,-1,-1,-1.5,7,2.75,-2,-3,-2.5,3.5,-1.5,1,-2,-2,-2,-3,7.5,2.25,-1,-3,-2,-2,-1.5,-1.75,-3.5,-1.5,-2.5,-4.5,-4.5,-4.5,-5,1.5,-1.75,-3.5,1.5,-1,-2,3,0.5,-4,-4.5,-4.25,0,3,1.5,2,-7,-2.5,4,1,2.5,-1.5,1.5,0,-1,1,0,0,-4,-2,3,-1,1,3,1,2,-2,-1.5,-1.75,3,0.5,1.75,-1,-2,-1.5,3,1,2,-1.5,-0.5,-1,2,1,1.5
18,Isolated,-0.5,0.5,0,3.5,6.5,5,-1,-1,-1,4.5,2,3.25,-1.5,-1.5,-1.5,5.5,1,3.25,-0.5,-0.5,-0.5,0.5,2.5,1.5,-2.5,0,-1.25,2,1,1.5,-3.5,-1,-2.25,-0.5,-1.5,-1,-4,-0.5,-2.25,2,2,2,-4,-2,-3,2,0,1,-3.5,-2,-2.75,1,2,1.5,-2,-3,-2.5,1,2.5,1.75,-3,-1.5,-2.25,1,2,1.5,-2.5,-4,-3.25,3.5,0.5,2,-2.5,-2,-2.25,2,-1,0.5,-4.5,-3,-3.75,0.5,-2,-0.75
19,Isolated,-2,-1,-1.5,4.5,2,3.25,-2.5,-3,-2.75,1.5,1,1.25,-2,-2.5,-2.25,1,2.5,1.75,-3,0,-1.5,3,3,3,0,3,1.5,-1.5,1.5,0,-2,-5,-3.5,1,2,1.5,-1.5,-1,-1.25,0.5,-1.5,-0.5,-1.5,0.5,-0.5,-1,-1,-1,-1,-0.5,-0.75,-1.5,-3.5,-2.5,-0.5,-4,-2.25,-4,0,-2,-3,-2,-2.5,1,-0.5,0.25,1.5,-4,-1.25,3,-5,-1,-2,-3.5,-2.75,1,-1,0,1.5,1,1.25,-0.5,1.5,0.5
20,Isolated,1,1.5,1.25,2.5,4,3.25,1,1,1,2.5,6,4.25,0.5,0,0.25,-0.5,0.5,0,-0.5,-0.5,-0.5,1.5,0.5,1,-2,0,-1,1.5,-1,0.25,-1.5,-1.5,-1.5,-0.5,-1.5,-1,-1,2,0.5,-1,-1.5,-1.25,-1,-2.5,-1.75,-2.5,0,-1.25,0,-1,-0.5,-1,-2,-1.5,-2.5,-2.5,-2.5,-3.5,-1,-2.25,-4.5,-0.5,-2.5,-6,-5.5,-5.75,-1.5,-4,-2.75,-3,-2,-2.5,-4,-3,-3.5,-2,-1,-1.5,-3,-4.5,-3.75,-3,-1.5,-2.25
116,Word,-1,0,-0.5,6,7,6.5,-2,-1,-1.5,3,4.5,3.75,0.5,-3,-1.25,4,4.5,4.25,-2,-2,-2,5.5,4,4.75,0.5,-1.5,-0.5,2,2,2,1,-0.5,0.25,1.5,2,1.75,0.5,-3.5,-1.5,1.5,-1,0.25,-0.5,-3,-1.75,-0.5,-0.5,-0.5,1,-0.5,0.25,-0.5,-1.5,-1,-4,-3.5,-3.75,-2,0.5,-0.75,-4.5,-5.5,-5,3,-5.5,-1.25,-2.5,0,-1.25,-2,0.5,-0.75,-2,0,-1,1,1.5,1.25,-1.5,0,-0.75,0.5,0.5,0.5
112,Word,-1,-0.5,-0.75,8.5,4,6.25,-1,-1,-1,2.5,4.5,3.5,-2,-1.5,-1.75,8,2,5,-2,-1,-1.5,3.5,3,3.25,-4,-2,-3,3,1,2,-4.5,-1,-2.75,1.5,8.5,5,-2.5,-5.5,-4,2.5,4,3.25,-8,-4,-6,4,7,5.5,-2.5,-2,-2.25,7,4.5,5.75,-3.5,-4.5,-4,5.5,4.5,5,-3.5,-6,-4.75,4.5,3.5,4,-8.5,-4.5,-6.5,1,2,1.5,-5.5,-7.5,-6.5,3,0,1.5,-4.5,-4.5,-4.5,1,0,0.5
115,Word,-0.5,-0.5,-0.5,3,4.5,3.75,-1.5,-1.5,-1.5,0,1,0.5,-1.5,-2,-1.75,2,1.5,1.75,-1.5,-1,-1.25,0.5,0.5,0.5,-1.5,0,-0.75,0,2.5,1.25,-0.5,0,-0.25,1,2,1.5,-1.5,0.5,-0.5,1.5,3,2.25,-2.5,-2,-2.25,0.5,2,1.25,-2,-2.5,-2.25,-1,0.5,-0.25,-2,-3,-2.5,-1,0.5,-0.25,-2.5,-4.5,-3.5,-1,0.5,-0.25,-1.5,-3.5,-2.5,0,-3,-1.5,-4,-4,-4,0,-0.5,-0.25,-3,-5,-4,0.5,0,0.25
114,Word,4,3,3.5,6,9,7.5,1.5,1,1.25,6,4,5,0.5,1.5,1,2,3.5,2.75,1.5,2.5,2,4,3,3.5,3,0.5,1.75,3,4.5,3.75,-0.5,-1,-0.75,1,3.5,2.25,0.5,-1.5,-0.5,0,2.5,1.25,-1.5,-1.5,-1.5,-1,2,0.5,-2.5,-2.5,-2.5,-2,0,-1,-3,-2.5,-2.75,-2.5,-2.5,-2.5,-3.5,-3.5,-3.5,-1,-1,-1,-5,-3.5,-4.25,0,1,0.5,-3.5,-4,-3.75,-3.5,0.5,-1.5,-6,-4,-5,-1.5,-0.5,-1
113,Word,-1,-1.5,-1.25,5,7,6,-0.5,2,0.75,7,4.5,5.75,4,-1,1.5,-3,4.5,0.75,-2,2,0,1.5,4,2.75,2,-1,0.5,0,2,1,0.5,2.5,1.5,2.5,1.5,2,2,3,2.5,3,2,2.5,-3.5,-0.5,-2,1,-2.5,-0.75,-1,-4.5,-2.75,0.5,3.5,2,-1,-4,-2.5,-2,-2.5,-2.25,0,-2.5,-1.25,1.5,-1,0.25,-3,0,-1.5,4,0,2,-4,1.5,-1.25,2,2,2,-3,-8,-5.5,1,1,1
109,Word,-2,-1,-1.5,5.5,5.5,5.5,-0.5,-1.5,-1,3,4,3.5,0,-2,-1,0.5,4,2.25,0.5,-2,-0.75,3,4.5,3.75,0.5,0.5,0.5,2,3,2.5,-3,-1,-2,1.5,1,1.25,-4.5,2,-1.25,4.5,1,2.75,-3,0,-1.5,2,0.5,1.25,-3,-2,-2.5,1.5,-2.5,-0.5,-2.5,-4,-3.25,1.5,1,1.25,-5.5,-2.5,-4,-2,2,0,-4.5,-5.5,-5,3,-1,1,-5,-2,-3.5,2,3,2.5,-3.5,-4.5,-4,0.5,1.5,1
111,Word,0,0,0,1.5,3,2.25,-1.5,-1,-1.25,0,1,0.5,-2.5,0.5,-1,0,1,0.5,-1.5,-0.5,-1,-2,-4.5,-3.25,-1,-3,-2,-2,-1.5,-1.75,2,0.5,1.25,-1,-1,-1,0,-0.5,-0.25,-4.5,-2.5,-3.5,-1,-0.5,-0.75,-4.5,-4.5,-4.5,-2,-2,-2,-1.5,-2,-1.75,-2.5,0,-1.25,-1,3.5,1.25,-2,-3,-2.5,-2,-5.5,-3.75,-4.5,-4.5,-4.5,2.5,2.5,2.5,-4.5,-5.5,-5,1.5,0.5,1,-6.5,-5,-5.75,2,0.5,1.25
110,Word,-1,-1,-1,3.5,7,5.25,0,-1,-0.5,3.5,6.5,5,-2,-2,-2,6,5.5,5.75,-1,-1.5,-1.25,3,6,4.5,-0.5,-3,-1.75,4.5,4,4.25,-2,-1.5,-1.75,4,5,4.5,-1.5,-1.5,-1.5,2.5,3,2.75,-3.5,-2,-2.75,0,1,0.5,-3.5,-2.5,-3,2.5,-1,0.75,-5,-5,-5,2.5,0,1.25,-4.5,-1.5,-3,1,2.5,1.75,-3,-4,-3.5,2,3,2.5,-2.5,-5.5,-4,-2.5,2.5,0,-5,-8,-6.5,1,0.5,0.75
108,Word,-0.5,-1,-0.75,6.5,5,5.75,-2,-2,-2,5,5,5,-0.5,0.5,0,3.5,5.5,4.5,-2.5,-0.5,-1.5,3.5,4,3.75,-1.5,0,-0.75,3.5,4.5,4,-1.5,-2.5,-2,1.5,4,2.75,0.5,1,0.75,0.5,2.5,1.5,-1.5,0,-0.75,-0.5,2,0.75,-4.5,0,-2.25,0,3,1.5,-5,-1,-3,-1,0.5,-0.25,-1,-5.5,-3.25,1,1.5,1.25,-3,-3.5,-3.25,-0.5,0.5,0,-3,-1.5,-2.25,1,1.5,1.25,-2.5,-2,-2.25,1,-1,0
107,Word,2.5,2,2.25,4.5,3,3.75,1.5,2.5,2,3.5,4,3.75,0,0,0,4,6,5,0,-2,-1,3.5,5,4.25,-1.5,0,-0.75,3,4.5,3.75,-2,0.5,-0.75,1,3,2,-1,0,-0.5,1,1.5,1.25,-2,-2,-2,-0.5,0.5,0,-4,-2,-3,-0.5,1.5,0.5,-2.5,-1.5,-2,1,-0.5,0.25,-2,1,-0.5,1.5,2,1.75,-3,-1.5,-2.25,2.5,2,2.25,1,-1,0,0,1.5,0.75,-6.5,-3.5,-5,0,0,0
106,Word,0.5,0,0.25,4,3.5,3.75,0,0.5,0.25,2,2.5,2.25,0,0,0,1.5,1,1.25,0,0.5,0.25,1.5,1.5,1.5,-1,-0.5,-0.75,1.5,1,1.25,-1.5,1.5,0,-0.5,1.5,0.5,-1.5,-0.5,-1,-1.5,0.5,-0.5,0.5,0.5,0.5,1.5,0,0.75,-0.5,-1,-0.75,1.5,0.5,1,-0.5,-0.5,-0.5,-0.5,0,-0.25,-5.5,-1,-3.25,-3,-1.5,-2.25,0,-1,-0.5,1.5,0,0.75,-2,-0.5,-1.25,1,1,1,-2.5,-3.5,-3,1,-1,0
105,Word,-0.5,-2,-1.25,10.5,11,10.75,-2,0.5,-0.75,10.5,12,11.25,-3,-2.5,-2.75,10,8,9,-4,-4,-4,8.5,10,9.25,-5,-1.5,-3.25,9,8,8.5,-0.5,-6,-3.25,4.5,6,5.25,-5,-7,-6,6,6.5,6.25,-6,-8,-7,5.5,5,5.25,-7.5,-5,-6.25,1,3,2,-8.5,-9,-8.75,4,3.5,3.75,-8.5,-5.5,-7,3.5,3.5,3.5,-9,-6.5,-7.75,3.5,2,2.75,-10,-9.5,-9.75,1,2,1.5,-9.5,-10.5,-10,2,1,1.5
104,Word,-1,-2,-1.5,1,0.5,0.75,-2,-2,-2,0,-0.5,-0.25,-3,-3,-3,1.5,-0.5,0.5,2.5,2,2.25,2,2.5,2.25,-1.5,0,-0.75,3.5,3.5,3.5,-2.5,1.5,-0.5,-0.5,1.5,0.5,0,0,0,-0.5,6,2.75,0,-4,-2,1,1,1,0,-1,-0.5,1,0,0.5,-2.5,2,-0.25,5,-1.5,1.75,0.5,3.5,2,4,4,4,1,-2.5,-0.75,4,3,3.5,1,-0.5,0.25,2,2,2,-3.5,-1.5,-2.5,0,-1.5,-0.75
103,Word,-1,0,-0.5,0.5,0,0.25,3.5,-2,0.75,-1.5,3.5,1,1,5,3,-1.5,-0.5,-1,-1.5,0.5,-0.5,0,-4,-2,1.5,2,1.75,-4.5,1.5,-1.5,2.5,1,1.75,-1.5,0,-0.75,4.5,-2,1.25,-2,-4.5,-3.25,-0.5,-1,-0.75,-1.5,-3,-2.25,-1.5,0.5,-0.5,-1.5,-5.5,-3.5,1.5,-2,-0.25,-3.5,-0.5,-2,0.5,4,2.25,1,2.5,1.75,1.5,-1,0.25,3,3,3,1.5,0.5,1,2.5,2,2.25,-0.5,-0.5,-0.5,0,0,0
102,Word,-1,-2,-1.5,1,0.5,0.75,-1,-2,-1.5,0.5,4.5,2.5,-3.5,-2,-2.75,-1.5,-0.5,-1,-2.5,-1,-1.75,4.5,9,6.75,-4.5,0,-2.25,0.5,4,2.25,-1.5,-0.5,-1,0,-1,-0.5,0,-3.5,-1.75,3,0.5,1.75,1,0.5,0.75,-2.5,-1,-1.75,-2,3,0.5,1,0,0.5,1.5,-3,-0.75,0.5,-2,-0.75,0.5,0.5,0.5,3,1.5,2.25,-7,-3.5,-5.25,2,2.5,2.25,-2,-2,-2,1.5,2,1.75,-5.5,-5.5,-5.5,0,0.5,0.25
101,Word,0.5,-1,-0.25,6.5,2.5,4.5,-1,-2,-1.5,2,6.5,4.25,-2,-2.5,-2.25,5,7,6,0,0.5,0.25,3,3.5,3.25,-2.5,1.5,-0.5,-1,2,0.5,-0.5,-2,-1.25,4,1.5,2.75,1,-4,-1.5,-0.5,0,-0.25,0,3,1.5,-0.5,2,0.75,1.5,-1.5,0,1.5,0,0.75,2,-3,-0.5,6,-2.5,1.75,-2.5,-1.5,-2,5,-0.5,2.25,-0.5,-3.5,-2,4,2,3,-4.5,-5,-4.75,3,0.5,1.75,-5.5,-4,-4.75,2,-0.5,0.75